Qty,Unit,Name of Equipment,Description/Specification,Location/Room,Date Delivered,Serial No.,Remarks
1,unit,CPU,Clone System Unit,ICT Department,,,Functional
2,unit,Monitor,View Sonic ,ICT Department,,T6Q131341113,Functional
,,,,,,TGQ131341800,Functional
1,unit,Keyboard,A4Tech,ICT Department,,PH1802058788,Functional
1,unit,Mouse,A4Tech,ICT Department,,,Functional
1,unit,Back-UPS,APC,ICT Department,,3B1421X09864,Functional
2,unit,Monitor,LG E1941TX,ICT Department,,104INUB91630,Functional
,,,,,,1031ND84538,Functional
1,unit,3COM Switch,Baseline 10/100 Switch 24 port,ICT Department,,0101 YLLW6TEB05688,On hand
1,unit,Monitor,Acer,ICT Department,,MMLX3SS001313B2B64220,Functional
1,unit,Mouse,Acer,ICT Department,,,Functional
1,unit,Keyboard,"Acer, FLC Key-00025",ICT Department,,,Functional
1,unit,Back-UPS,APC,ICT Department,,7B1208L04133,Functional
1,unit,CPU,Clone System Unit,ICT Department,,,Functional
1,unit,CPU,Lenovo System Unit,ICT Department,,1S10AQ004VPCPB0256DS,Functional
1,unit,Monitor,Lenovo,ICT Department,,V5251408,Functional
1,unit,Keyboard,Acer,ICT Department,,V1706006LE614251,Functional
1,unit,Mouse,A4Tech,ICT Department,,1611,Functional
1,unit,CPU,Lenovo System Unit,ICT Department,,1S10AQ004VPCPB0256CX,Functional
1,unit,Monitor,Lenovo,ICT Department,,V5251422,Functional
1,unit,Keyboard,A4Tech,ICT Department,,PH1802058786,Functional
1,unit,Mouse,A4Tech,ICT Department,,PH1803008085,Functional
2,units,Air Conditioner,Carrier Window Type,ICT Department,,,Functional
1,unit,Water Dispenser,Eureka,ICT Department,,1200 2092,Functional
1,pc,Chair,"LR-CHA-00223, Plastic",ICT Department,,,Functional
1,pc,Chair,"Wooden, White with Foam",ICT Department,,,Functional
1,unit,Vacuum,Ridgid/Orange,ICT Department,,13185R0045,Functional
2,pcs,Ladder,Steel,ICT Department,,,Functional
